,komentar,kategori,label,clean_text
642,kalau sampai dia bohong . Lu ngomong sm dokter. Dokter bisa bedain lu benar ambeien atau abis ngewe sesama lelaki,hate speech,1,bohong ngomong dokter dokter bedain ambeien habis ngewe lelaki
643,ini org2 pada mempermalukan diri sendiri di podcast ,hate speech,1,orang malu podcast
644,"Jangan2 emang pengen lebih deket sama dr richard ini, hati2 dok",hate speech,1,emang richard hati dok
645,"Gilingan, udah kaya gini masih aja pake buzzer, anjing. Bukannya bayar aja hak KARYAWAN. Emang benar2 NPD ketemu sociopath jadi cetar membahana yes, powerful duo.",hate speech,1,giling kaya pakai buzzer anjing bayar hak karyawan emang npd ketemu sociopath cetar bahana ya powerful duo
646,Semoga bos yang tidak mau membayarkan gaji karyawannya kena azab,hate speech,1,moga bos tidak bayar gaji karyawannya kena azab
647,ingat waktu pesta lepas lajang ngemut roti berbentuk kontol wajah di lukisin bentuk kontol padahal pakek hijab..  Miris banget,hate speech,1,pesta lepas lajang ngemut roti bentuk kontol wajah lukisin bentuk kontol pakai hijab miri banget
648,Coba diingat2 pas cuci celana dalam mantan suami nya dulu suka ada yang aneh ngga wkwk,hate speech,1,coba pa cuci celana mantan suami nya suka aneh tidak wkwk
649,"Suami mu boti gay mba, kalau top masi doyan",hate speech,1,suami mu bot gay mbak top doyan
650,"Biasalah, berita gak di goreng ya mereka gak makan, kasihan ",hate speech,1,berita tidak goreng ya tidak makan kasihan
651,Kok makin ilfeel ya liat inara  @noviariawati genit nya parah gestur tubuhnya meleyot ke lawan jenis gitu,hate speech,1,ilfeel ya lihat inara noviariawati genit nya parah gestur tubuh leyot lawan jenis
652,ilfil banget liat keluarga ini.. ”,hate speech,1,ilfil banget lihat keluarga
653,Nyindir ya cari sensasi lagi terkenal cuma beberapa hari bangga beda dengan sultan andara yang berjuang dari bawah dan awet sampai sekarang...,hate speech,1,nyindir ya cari sensasi kenal bangga beda sultan andara juang awet
654,Dok mending  bikin konten skincare aja jangan urus rumah tangga orang kok aneh banget sih sekarang,hate speech,1,dok mending bikin konten skincare urus rumah tangga orang aneh banget sih
655,gak bermutu bintang tamunya dok bodoh kali cari narasumber,hate speech,1,tidak mutu bintang tamu dok bodoh kali cari narasumber
656,geli banget sama mba jamet satu ini ,hate speech,1,geli banget mbak jamet
657,"Lain kali pilih pilih bintang tamu dok jujur kali ini aku jijik boro boro mau belajar,",hate speech,1,kali pilih pilih bintang tamu dok jujur kali jijik boro boro ajar
658,"dengan bangga menunjukkan negatifnya kepada orang lain. dan mengatakan seks bebas sudah biasa , walau di jaman sekarang , itu tidak bisa di toleransi , sedangkan dia sudah merusak imej Jilbab yang sesungguhnya . apa yang harus di ambil dokter. dari sy seorang emak2 yang anaknya nonton ini dan blng,,  tuh mah anaknya kaya gtu orang tuanya cuek aja . gak kayak mama,mbak pergi bentar gak berjilbab langsung di marah Mereka bukan inspiratif dokter tapi merusak dan memberi contoh buruk ke anak muda terutama kaum hawa.. maaf dan terima kasih",hate speech,1,bangga negatif orang seks bebas jaman tidak toleransi rusak imej jilbab sungguh ambil dokter orang emak anak nonton bilang tuh mah anak kaya orang tua cuek tidak mamambak pergi bentar tidak jilbab langsung marah inspiratif dokter rusak contoh buruk anak muda utama kaum hawa maaf terima kasih
659,Dia berhijab tapi kayak telanjang ,hate speech,1,hijab telanjang
660,Dok jangan kek om botak. Lama lama mendatangkan bintang tamu yang ga berfaedah ga jelas podcast nya,hate speech,1,dok om botak bintang tamu tidak faedah tidak podcast nya
661,"Ada yang murah, tapi bukan cabe.. Tapi perempuan murahan",hate speech,1,murah cabai perempuan murah
662,kalau aku jadi istrinya sih cemburu ya perempuannya seperti gatal dan nafsu,hate speech,1,istri sih cemburu ya perempuan gatal nafsu
663,Beda kelas sih. Dr richard cocoknya wawancara gosip dan julid julid.,hate speech,1,beda kelas sih richard cocok wawancara gosip julid julid
664,Saya hanya ingin mengingatkan Anda bahwa menjauhlah dari NM dan keluarganya karna dia membawa pengaruh buruk,hate speech,1,nm keluarga bawa pengaruh buruk
665,Ternyata NM sampai sekarang masih memeras uangnya Toni… parah banget itu perempuan,hate speech,1,nyata nm peras uang ton parah banget perempuan
666,Gila ga habis pikir. yang di sebelah muter balikin fakta nya jago benar.. Di sebut tony yang bawa2 laura ke konflik orang tua nya. padahal laura sendiri yang bilang dia gamau ikut konflik orang tua nya karena mau fokus sekolah. Eh sekolah nya gamau di biayain lagi. Laura mau coba Endorse di persulit. Tony yang mau bantu laura aja image nya di jelekin abis2an. Ga habis fikir..,hate speech,1,gila tidak habis pikir belah putar balikin fakta nya jago tony bawa laura konflik orang tua nya laura bilang tidak konflik orang tua nya fokus sekolah eh sekolah nya tidak biayain laura coba endorse sulit tony bantu laura image nya jelekin abis tidak habis fikir
667,"Untung udah gak sama Nikmir ,auto jadi tahanan rumah kalau masih bareng‚",hate speech,1,untung tidak nikmir auto tahan rumah bareng
668,Udah kelar dramanya ya ‚.. saya unfoll dulu deh nanti kalau ada drama lg saya follow lg .. ‚‚‚‚‚,hate speech,1,kelar drama ya unfoll deh drama follow
669,"Knp ya rada gak percaya sm cewe itu inget dia maki2 bunda corla sampai membabi buta begitu dulu kaya paling tau semua mulutnya jahat banget ,sekarang ga prcya sm dia .. ",hate speech,1,ya rada tidak percaya cewek maki bunda corla babi buta kaya tau mulut jahat banget tidak percaya
670,Serem amat voice note minta bayaran seks  biar adil harusnya saling hitung siapa yang minta  seks dia yang bayar.  Ayo Om Toni diingat ingat siapa yang minta lebih banyak,hate speech,1,rem voice note bayar seks biar adil hitung seks bayar ayo om ton
671,"Day nikmir suruh beli baju noh, uangnya dah di balikin kan sama bunda corla. astaga. Malah ga pake baju‚‚‚‚",hate speech,1,nikmir suruh beli baju noh uang balikin bunda corla astaga tidak pakai baju
672,"Palingan nanti setelah cerai sama niki balik lagi tuh ke agama asli nya, biasalah pansos",hate speech,1,cerai nik tuh agama asli nya pansos
673,Makanya jangan tinggalkan Tuhanmu sekarang kau kena karma nya dan di azab,hate speech,1,tinggal tuhan kau kena karma nya azab
674,Gaya lu tong pake mobil cewek ‚‚‚,hate speech,1,gaya tong pakai mobil cewek
675,Sok kaya,hate speech,1,sok kaya
676,Malu gak sihh itu mobil siapa ‚‚‚ #mokondoo,hate speech,1,malu tidak sihh mobil mokondoo
677,Minimal hapus sih postingan barang barang punya nyai ‚ mokondo,hate speech,1,minimal hapus sih postingan barang barang nyai mokondo
678,kok postingan ini gak didelete sih.. malu pamer pake enda org‚‚‚ @mailsyahputra @dheahanifaputri @nikitamirzanimawardi_172,hate speech,1,postingan tidak didelete sih malu pamer pakai enda orang mailsyahputra dheahanifaputri nikitamirzanimawardi
679,@nikitamirzanimawardi_172 's MINI COOPER ... LAKI MOKONDO !!!!!!!!!!!!!,hate speech,1,nikitamirzanimawardi s mini cooper laki mokondo
680,Anda telah meninggalkan Yesus karena seorang wanita.. Berubah iman Anda karena seorang wanita... Apa yang Anda dapatkan? Situasi tidak bahagia & bajingan ..,hate speech,1,tinggal yesus orang wanita ubah iman orang wanita situasi tidak bahagia bajing
681," lawak lo, sok2an bilang mau percaya saya mau gak, saya gak peduli, saya selo aja, ga bikin kulit saya berdarah2, tapi ngemis2 minta delete story nya Toni, komentar di non aktifkan pas live.. Sama diri sendiri aja terbiasa bohong, apalagi sama orang‚‚‚‚‚‚ wanita sakit",hate speech,1,lawak sok bilang percaya tidak tidak peduli selo tidak bikin kulit darah ngemis delete story nya ton komentar non aktif pa live bohong orang wanita sakit
682,Udah ditangkap kok pura2 bego ya?,hate speech,1,tangkap pura bodoh ya
683,"Berhijab tapi telanjang. Ditawar orang dia marah, tapi kelakuan sm muka minta ditawar",hate speech,1,hijab telanjang tawar orang marah laku muka tawar
684,Gak usah sok ngewakilin. Taik lu,hate speech,1,tidak sok ngewakilin taik
685,Kelakuan aneka konten pas cosplay jadi lonte aja masih bertebaran sebagai jejak digital sok ngomong konten islami,hate speech,1,laku aneka konten pa cosplay lonte tebar jejak digital sok ngomong konten islami
686,bisa bisa nya islami di bawain ODGJ !!,hate speech,1,nya islami bawain odgj
687,pengen di hargai tapi dianya gapunya harga.,hate speech,1,harga gapunya harga
688,Perempuan islami ga ada yang pakaian nya bentukan kayak pakaian lo mbakk MALU dikit!!,hate speech,1,perempuan islami tidak pakai nya bentuk pakai mbakk malu
689,"balik lg lu... masih punya urat malu lu?? Gausah sok bkin konten islam"" lah.. ga cocok",hate speech,1,urat malu tidak sok bkin konten islam tidak cocok
690,"Ehh sinting, lu bilang wajar bikin konten makan eskrim dengan cara bangetu?? otak muu udah karatan ya.",hate speech,1,ehh sinting bilang wajar bikin konten makan eskrim bangetu otak muu karat ya
691,Oklin ini janda ya?! atau msh lajang?! Kalau lajang nampaknya sudah tidak perawan,hate speech,1,oklin janda ya lajang lajang nampaknya tidak perawan
692,"Tolong jangan wakili kami, islam tidak butuh diwakili kamu. Jangan sok polos jangan pura2 nggak ngerti kamu sudah dewasa dan punya otak untuk berpikir, ",hate speech,1,tolong wakil islam tidak butuh wakil sok polo pura tidak ngerti dewasa otak pikir
693,Lonte berhijab,hate speech,1,lonte hijab
694,Pernah punya malu gak si,hate speech,1,malu tidak si
695,"Yang kemarin dikritik masyarakat bukan cuma konten kamu tentang makan eskrim didepan kelamin pria saja, tetapi cara berpakaian kamu yang berhijab tetapi seperti TELANJANG, kalau balik lagi muncul dengan konten seperti ini ya sama saja masih mempertontonkan lekuk tubuh. Mana isi kontennya islami lagi  @oklinfia",hate speech,1,kemarin kritik masyarakat konten makan eskrim kelamin pria pakai hijab telanjang muncul konten ya tonton lekuk tubuh isi konten islami oklinfia
696,"Pakaian anda dulu di perbaiki ,pake jilbab tapi telanjang , malu",hate speech,1,pakai pakai jilbab telanjang malu
697,kalau aku jadi Kaka ga bakal muncul lagi di sosmed pasti malu banget ,hate speech,1,kaka tidak muncul sosmed malu banget
698,"Lemah lu , nangis depan kamera doang nanti juga lu berulah lagi",hate speech,1,lemah nang kamera ulah
699,"KEBERADAAN ISLAM DI INDONESIA AJA LU NODAIN, JAUH AMAT URUSIN ISLAM sampai KOREA. MINIMAL JAGA NAMA BAIK ISLAM DULU SUPAYA TIDAK DIPANDANG RENDAH AGAMA LAIN!!! ¿",hate speech,1,islam indonesia nodain urusin islam korea minimal jaga nama islam tidak pandang rendah agama
700,We pantek rugiin kehormatan jilbab aja lo,hate speech,1,we pantek rugiin hormat jilbab
701,Lonte,hate speech,1,lonte
702,"Butuh belajar wkwk kocak ,giliran gini bilang butuh  belajar padahal selama ini udah banyak yang ngingetin eh tapi lu makin suka karna tenar wkwk",hate speech,1,butuh ajar wkwk kocak gilir bilang butuh ajar eh suka tenar wkwk
703,Kabur kan lo lonte!,hate speech,1,kabur lonte
704," benar nih mau di biarin lolos gini aja, seharusnya masuk penjara gak sih",hate speech,1,nih biarin lolo masuk penjara tidak sih
705,Pelaku penista agama nih kok ga dihukum secara adil?,hate speech,1,laku nista agama nih tidak hukum adil
706,orang begini jangan di follow lah,hate speech,1,orang follow
707,perempuan laknat . andai Umar Bin Khatab masih ada sampai saat ini pastilah banyak mayat tanpa kepala berserakan,hate speech,1,perempuan laknat andai umar bin khatab mayat kepala serum
708,"Ya allah... yang makan kulit babi ""dipenjara"" nenek butuh makan mencuri daun singkong ""dipenjara"" dia yang merusak moral dan membuka hawa nafsu org yang liat konten dia ""masih wara wiri""",hate speech,1,ya allah makan kulit babi penjara nenek butuh makan curi daun singkong penjara rusak moral buka hawa nafsu orang lihat konten wara wiri
709,kalau saya jadi dia malu banget sumpah mungkin saya akan hilang dari medsos tapi beda sama orang yang emang gapunya malu muka tembok,hate speech,1,malu banget sumpah hilang medsos beda orang emang gapunya malu muka tembok
710,Sampah,hate speech,1,sampah
711,Kocak pemcitraan agama lu,hate speech,1,kocak pemcitraan agama
712,"Mau sok sok nakal, tapi takut kena hukum. Jadi pekerja malam saja mendingan, daripada lo post ga senonoh. BUKA KERUDUNG LU ‚",hate speech,1,sok sok nakal takut kena hukum kerja malam mending post tidak senonoh buka kerudung
713,Duta lonte,hate speech,1,duta lonte
714,"ga cocok, lebih cocok konten sebelum2nya yang liatin lekuk tubuh lu",hate speech,1,tidak cocok cocok konten lihatin lekuk tubuh
715,"Ayolah, jangan lemah seperti itu, coba tanya sama suhu @vip_siskaeeenya3 , saya follow anda karna ingin melihat konten anda yang sangat buat nafsu",hate speech,1,ayo lemah coba suhu vip siskaeeenya follow lihat konten nafsu
716,Duta nyepong inima,hate speech,1,duta nyepong inima
717,Bakar rumah oklin fia,hate speech,1,bakar rumah oklin fia
718,"Ngehujat oklin sebagai penista agama tapi yang ngomong suka pacaran, buka aurat dan suka mabok""an dan yang melakukan itu orang islam  padahal itu semua udah termaksud penistaan agama",hate speech,1,ngehujat oklin nista agama ngomong suka pacar buka aurat suka mabokan laku orang islam maksud nista agama
719,kalau Dari dasar udah lonte itu dah susah Mau nutupin gimana juga ‚‚,hate speech,1,dasar lonte susah nutupin
720,Malu saya liat elu... Najiss... ‚,hate speech,1,malu lihat najiss
721,MANUSIA SETENGAH DAJAL!!!!!,hate speech,1,manusia dajal
722,sakit ni manusia emang,hate speech,1,sakit ni manusia emang
723,"Beginilah rupa manusia titisan dajal dan setan ,berhijab tapi aurat menonjol kemana2",hate speech,1,rupa manusia titi dajal setan hijab aurat tonjol
724,"MANA PISANGNYA YA GAK DI BAWAH, PAS KETEMU KAK AIMAN DI WAWANCARAI NANGIS MUKA SOK POLOS",hate speech,1,pisang ya tidak pa ketemu kak aiman wawancara nang muka sok polo
725,kalau masih ada yang ngebela dia fiks stress,hate speech,1,ngebela fiks stress
726,kalau da dekat ini anak saya cubit2 uluhatinya nah @arizkadarwin saya jengkel sekali tingkahnya,hate speech,1,da anak cubit uluhatinya arizkadarwin jengkel tingkah
727,"EH LONTE SEKIRANYA LU SADAR DIRI DONG MONYET, LU TAU ATURAN BERAGAMA ISLAM GAK SIH MONYET?",hate speech,1,eh lonte sekira sadar monyet tau atur agama islam tidak sih monyet
728,Ntar jg gitu lagi wkwk dulu jg begitu Soalnya,hate speech,1,wkwk
729,Jalang,hate speech,1,jalang
730,Mia khalifa indonesia ini tapi versi berhijab,hate speech,1,mia khalifa indonesia versi hijab
731,Bakar oklin fia hidup hidup,hate speech,1,bakar oklin fia hidup hidup
732,Bunuh oklin fia,hate speech,1,bunuh oklin fia
733,Bakar oklin fia hidup hidup,hate speech,1,bakar oklin fia hidup hidup
734,Tembak mati aja oklin fia,hate speech,1,tembak mati oklin fia
735,JABLAY MAU MAIN FILM PORNO,hate speech,1,jablay main film porno
736,"udah yang udah jangan lagi, ngeri kayak artis porno",hate speech,1,ngeri artis porno
737,Masih kebayang lo jilat es sama makan pisang bukan cuma jejak digital tapi rekam pikiran masih ada di kepala‚‚‚‚‚,hate speech,1,bayang jilat e makan pisang jejak digital rekam pikir kepala
738,Lagi nunggu film dewasa nya @oklinfia tayang di link terkunci ””” Comeon klin susul @vip.siskaeee ¸¸,hate speech,1,nunggu film dewasa nya oklinfia tayang taut kunci comeon klin susul vipsiskaeee
739,"gak ada guna juga ternyata akun lu ,sesekali ada guna, jangan body montok mulu yang lu post pantek",hate speech,1,tidak nyata akun sekal body montok mulu post pantek
740,bACOT,hate speech,1,bacot
741,Next emut apalagi Klin? ”,hate speech,1,next emut klin
742,Ini tolol udah sampai ke dna sih,hate speech,1,tolol dna sih
743, udah di hapus konten2 yang kayak porno wkwk,hate speech,1,hapus konten porno wkwk
744,Setrum aja oklin fia,hate speech,1,setrum oklin fia
745,"Oknum penzolim kepercayaan , azab itu ada ”””",hate speech,1,oknum penzolim percaya azab
746,Mana video jilat2 nya sama badan sexy mu tu ‚,hate speech,1,video jilat nya badan sexy mu
747,TOBAT SEBELUM AJAL MENJEMPUT… DASAR DAJAL,hate speech,1,tobat ajal jemput dasar dajal
748,Oh ini lonte nya,hate speech,1,oh lonte nya
749,Tobat dulu saja jangan main sosmed,hate speech,1,tobat main sosmed
750,@oklinfia woy baca ni ..ga otak lu,hate speech,1,oklinfia woy baca ni tidak otak
751,LONTE KELUARGA LONTE,hate speech,1,lonte keluarga lonte
752,Minimal punya harga diri lah sebagai cewek. kalau lu mau atas sama bawah nonjol. Jangan pake kerudungan,hate speech,1,minimal harga cewek nonjol pakai kerudung
753,tidak ber akhlak attitude noll”,hate speech,1,tidak ber akhlak attitude noll
754,Semangat lonte,hate speech,1,semangat lonte
755,Ditunggu pose ngangkang nya,hate speech,1,tunggu pose ngangkang nya
756,Mungkin si oklin sudah phobia sama es krim coklat atas kontennya yang tidak mendidik sekali !!!,hate speech,1,si oklin phobia e krim cokelat konten tidak didik
757,oklin br 19 taun udah jadi lonte anjing wkwk saya kira lebih tua dari saya,hate speech,1,oklin br lonte anjing wkwk tua
758,Mendingan kaya gini aja udah anjeng cocok jadi lonte,hate speech,1,mending kaya anjeng cocok lonte
759,Pasti tetenya gatel pengen di post yang ketat ketat lg,hate speech,1,tetenya gatal post ketat ketat
760,UDAH GEDE MASIH TOLOL,hate speech,1,tolol
761,LONTEKU ,hate speech,1,lonte
762,Mau jd pelakor nya irish bella tah,hate speech,1,pelakor nya irish bella tah
763,Sange,hate speech,1,sange
764,Pengen bunuh binatang satu ini!,hate speech,1,bunuh binatang
765,"Hey susu mu wi Lo, Pentil mu menonjol, di tutupi , laki laki sange lihatnya, dih jijik",hate speech,1,hey susu mu wi pentil mu tonjol tutup laki laki sange lihat dih jijik
766,JABLAY PAKE TAS PALSU,hate speech,1,jablay pakai ta palsu
767,Wanita dajjal,hate speech,1,wanita dajjal
768,bajingan,hate speech,1,bajing
769,vibe nya ani ani banget kak hehe,hate speech,1,vibe nya ani ani banget kak hehe
770,Lu itu islam atau ngaku islam buat bikin agamanya jadi jelek dimata org?,hate speech,1,islam ngaku islam bikin agama jelek mata orang
771,Pamerkan dong jilbobnya masa kalem,hate speech,1,pamer jilbobnya kalem
772,Punya only fans mbak??,hate speech,1,only fan mbak
773,Kena tunjuk peribadi baik dan tutup aurat sister. jangan seksi di sana ya sister ¸,hate speech,1,kena peribadi tutup aurat sister seksi ya sister
774,Korea anti islam,hate speech,1,korea anti islam
775,Mirip wanita kematian,hate speech,1,wanita mati
776,jijik,hate speech,1,jijik
777,Aura nya. tetap LonTe ””,hate speech,1,aura nya lonte
778,kok ada ya org muslimah tapi toket nya layak di alresiasi ,hate speech,1,ya orang muslimah toket nya layak alresiasi
779,"di negara orang bukan islam pakai labuh , dekat negara sendiri negara islam pakai macam bukan orang islam , ketat nampak nenen susu .buat malu aja ‚bodo kali.",hate speech,1,negara orang islam pakai labuh negara negara islam pakai orang islam ketat nampak nenen susu malu bodoh kali
780,Apakah ini yang dinamakan pencitraan  netizen‚,hate speech,1,nama citra netizen
781,"anjay malu2in agamanya go internasional dong, semangat kak mupuk dosanya",hate speech,1,anjay maluin agama go internasional semangat kak mupuk dosa
782,Komentar kalian menunjukkan bahwa Islam itu tidak damai & terlalu memaksa.,hate speech,1,komentar islam tidak damai paksa
783,Gimana gk diliatin teteknya aja gede,hate speech,1,tidak diliatin tetek
784,Anda cuma meniru ... PLAGIAT ...””,hate speech,1,tiru plagiat
785,"Pertahanin lah pake yang begininya, pake pakean ketat tu kebanyakan buat bacol, aslilah",hate speech,1,pertahanin pakai pakai pakean ketat bacol asli
786,Anjing lu klin lama2 ‚,hate speech,1,anjing klin
787,Wanita terkampungan.. padahal orangnya bagus tapi kok jijik banget rasanya,hate speech,1,wanita kampung orang bagus jijik banget
788,"mba request pake kerudung yang di iket di belakang ,terus ketat duh kesukaan papa kia jilbob",hate speech,1,mbak request pakai kerudung iket ketat duh suka papa kia jilbob
789,"Langsung open BO , gas”””",hate speech,1,langsung open bo gas
790,Lobangnya udah gede udah bolong jd kontenya vulgar2 makalaum lah dah dicobain sana sini. Itu pasti karena disosmed saja udah bar bar gimana kalau ga disosmed pasti lebih2 pro main nya,hate speech,1,lobangnya bolong konte vulgar makalaum dicobain disosmed bar bar tidak disosmed pro main nya
791,Lonte,hate speech,1,lonte
792,"Dia bukan muslim, cuman ingin menutupi kulit rambutnya yang berkurap dan tidak bisa disembuhkan, makanya dia seperti berhijab",hate speech,1,muslim tutup kulit rambut kurap tidak sembuh hijab
793,MUNGKIN DIA BERHIJAB BUAT NUTUPIN PITAK‚,hate speech,1,hijab nutupin pitak
794,ngentot lah apalagi masih nanya ’’yang mancing kalau dipancing diterima dong pancingan nya,hate speech,1,ngentot mancing pancing terima pancing nya
795,udah GEDE MASIH TOLOL,hate speech,1,tolol
796,Fix lonte,hate speech,1,fix lonte
797,"Otak ngeres, mintanya disapu nih",hate speech,1,otak ngeres sapu nih
798,Ngewe lah ngapain lagi,hate speech,1,ngewe ngapain
799,@oklinfia hhh.. kalau mau nakal nakal sekalian kalau mau alim alim sekalian jangan setengah jadi cewek gaada harga diri sama sekali miris saya ,hate speech,1,oklinfia hhh nakal nakal alim alim cewek tidak harga miri
800,Ini mungkin yang dibilang rosul ciri wanita ahir zaman,hate speech,1,bilang rosul ciri wanita ahir zaman
801,Ngentot gangbang‚‚,hate speech,1,ngentot gangbang
802,Mending lu bugil aja jilbabnya dijual buat sewa guru les biar tau bodoh tolol lu dah sampai mana,hate speech,1,mending bugil jilbab jual sewa guru le biar tau bodoh tolol
803,Ngentot,hate speech,1,ngentot
804,colmek dong kak,hate speech,1,colmek kak
805, kayanya kamu orang bayaran Zionis mau menjelek2 islam dengan cara berpakaian seperti itu semoga Allah SWT menegur anda dengan keras dan kembali ke jalan yang benar...... @nikitamirzanimawardi_172 semoga anda jg.,hate speech,1,kaya orang bayar zionis jelek islam pakai moga allah subhanahu wata ala tegur kera jalan nikitamirzanimawardi moga
806,Ngentot yuk,hate speech,1,ngentot yuk
807,abis ini ngonten makan babi ‚,hate speech,1,habis ngonten makan babi
808,"gausah minta maaf, ngentot aja sana.. outfit lu tiap hari makin kayak lonte",hate speech,1,tidak maaf ngentot outfit lonte
809,Spek Jahannam ”,hate speech,1,spek jahannam
810,Bikini syariah,hate speech,1,bikini syariah
811,najis,hate speech,1,najis
812,mending jadi jablay mba,hate speech,1,mending jablay mbak
813,"DIA CAPER, SKIP",hate speech,1,caper skip
814,"dia itu muslim, gk bisa buka kerudung itu karna di botak kepalanya sebelah habis di bacok anak STM kayanya",hate speech,1,muslim tidak buka kerudung botak kepala belah habis bacok anak stm kaya
815,berhijab ko vulgar,hate speech,1,hijab ko vulgar
816,Jual badan berapa?,hate speech,1,jual badan
817,"dek ,, spon BRA mu kegedean .. ",hate speech,1,dek spon bra mu
818,"Jumpa om dulu nih kasi setoran memek, biar nanti di beliin mobil lagi :)",hate speech,1,jumpa om nih kasih setor memek biar beliin mobil
819,pengen oleh2 memek karet cape coli pake tangan mulu‚,hate speech,1,memek karet capek coli pakai tangan mulu
820,Penista Agama !!,hate speech,1,nista agama
821,Penista Agama,hate speech,1,nista agama
822,Berpakaian tapi telanjang,hate speech,1,pakai telanjang
823,"Berhijab, tapi gk paham untuk apa dia berhijab. Kasihan ‚‚",hate speech,1,hijab tidak paham hijab kasihan
824,anjing ini mah,hate speech,1,anjing mah
825,Dih gaada urat malu,hate speech,1,dih tidak urat malu
826,iman tai lo,hate speech,1,iman tai
827,"gak pamer aurat, gak makan",hate speech,1,tidak pamer aurat tidak makan
828,Berhijab tapi ngeplat bajune .. dikatain gak mau tapi cara berpenampilan dia menunjukan value dirinya itu macem mana,hate speech,1,hijab ngeplat bajune dikatain tidak tampil value macem
829,PASTI TETE NYA BAU ASEM,hate speech,1,tete nya bau asem
830,KAU NI APE? LONTE KE? ‚‚‚,hate speech,1,kau ni ape lonte
831,Yuh bikin onlyfans aja,hate speech,1,yuh bikin onlyfans
832,Susumu wi loh,hate speech,1,susu wi loh
833,"Gayanya modelan kayak jeje , anak jalanan juga tadinya mba? Dicocol dijalan ya biasanya? Kelakuannya mirip soalnya",hate speech,1,gaya model jeje anak jalan mbak cocol jalan ya laku
834,Kayak anjing birahi wajahnya,hate speech,1,anjing birah wajah
835,Binatang apa sih namanya yang sering keluarin Lidahnya,hate speech,1,binatang sih nama lidah
836,Lonte lonte,hate speech,1,lonte lonte
837,Woi apus lah ekpresimu lo tolol,hate speech,1,woi apus ekpresimu tolol
838,Lidah lu kek lidak binatang,hate speech,1,lidah lidak binatang
839,Ya Allah.. kalau mau fose seperti itu.. buka kain penutup kepalanya!!!!!.. jangan so'2an pake kerudung!!!!.. apa kepala kamu botak?????,hate speech,1,ya allah fose buka kain tutup kepala soan pakai kerudung kepala botak
840,Muka lo kek anjing kelakuannya juga sama,hate speech,1,muka anjing laku
841,"Brp semalem mbak? Wkwk pasti murah, berapa ronde jadi lonte semalam",hate speech,1,semalem mbak wkwk murah ronde lonte malam
842,bm banget dapat video bugil sama video ngentot nya ‚‚,hate speech,1,bbm banget video bugil video ngentot nya
843, we tolol lu punya mulut sAma jari Jangan tolol lah asal Bae lu jadi bocah!!,hate speech,1,we tolol mulut jari tolol bae bocah
844,"Gak ada untungnya lu hidup malu""in aja",hate speech,1,tidak untung hidup maluin
845,Ini hapus juga soklin sumpah saya jijik lihat lidah loh yang menjulur,hate speech,1,hapus soklin sumpah jijik lihat lidah loh julur
846,Manusia beriman ga mungkin foto dengan gaya anjing,hate speech,1,manusia iman tidak foto gaya anjing
847,Menjijikkan dikira pantes cantik masih banyak yang lebih cantik jual diri‚,hate speech,1,jijik cantik cantik jual
848,Ih amit amit jabang bayik‚‚,hate speech,1,ih amit amit jabang bayik
849,Ga malu Lo?,hate speech,1,tidak malu
850,Ini apa woi,hate speech,1,woi
851,JIJIK,hate speech,1,jijik
852,Babi banget,hate speech,1,babi banget
853,Jijik liatnya,hate speech,1,jijik lihat
854,melet melet biar apa si lonte,hate speech,1,melet melet biar si lonte
855,Kek anjing muka lo ya wkwk,hate speech,1,anjing muka ya wkwk
856,Lidahnya menjijikan persis anjing‘…›,hate speech,1,lidah jijik persis anjing
857,Ih najis munafik,hate speech,1,ih najis munafik
858,Hukum menjulurkan lidah itu haram‚,hate speech,1,hukum julur lidah haram
859,Melet meletin lidah kayak guguk /anjing,hate speech,1,melet meletin lidah guguk anjing
860,kalau dilihat  cocok ni jadi artis film porno,hate speech,1,lihat cocok ni artis film porno
861,"Padahal umur udah cukup dewasa , tapi kok gak malu ya pose foto ngeluarin lidah",hate speech,1,umur dewasa tidak malu ya pose foto lidah
862,lidah nya kek orang2 yang kena azab di sinetron hidayah ,hate speech,1,lidah nya orang kena azab sinetron hidayah
863,"NAJIS, PENGEN saya BERAKIN LUDAH MUKA LO JABLAY",hate speech,1,najis berakin ludah muka jablay
864,najis,hate speech,1,najis
865,Yang komen kebanyakan cowo loh.. cwo aja jijik‚,hate speech,1,komen cowok loh cowok jijik
866,hApus anjing udah minta maaf postingan masih yang jilat jilat ngakak,hate speech,1,hapus anjing maaf postingan jilat jilat tertawa
867,iyuh lidahnya menjijikkan,hate speech,1,iya lidah jijik
868,lidahnya hampir sama panjangnya kek lidah buaya ya,hate speech,1,lidah lidah buaya ya
869,Pancet,hate speech,1,pancet
870,Masih ada lidah nya wkwk\,hate speech,1,lidah nya wkwk
871,Si anjing lagi melet ,hate speech,1,si anjing melet
872,birahi kek kucing w,hate speech,1,birah kucing
873,Lonte berhijab,hate speech,1,lonte hijab
874,"Muak kalau lihat lidah di Melet2, di julur2 gitu",hate speech,1,muak lihat lidah melet julur
875,Gejala awalnya kenapa ini musang bisa birahi,hate speech,1,gejala musang birah
876,"Ini sih ga bakal berubah, sama aja. Sok nangis saja di depan kamera minta maaf, tunggu sebulan lagi pasti postingannya kayak kemarin2 lagi. kalau gak gitu, dia cuma mbak2 50an / malam",hate speech,1,sih tidak ubah sok nang kamera maaf tunggu postingannya kemarin tidak mbak an malam
